Net generation for all fuels (utility-scale) monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=g&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&columnchart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=201702&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
11:15:20 GMT-0400 (EDT)
Data source: U.S. Energy Information Administration
Month,New England : all sectors thousand megawatthours,Middle Atlantic : all sectors thousand megawatthours,East North Central : all sectors thousand megawatthours,West North Central : all sectors thousand megawatthours,South Atlantic : all sectors thousand megawatthours,East South Central : all sectors thousand megawatthours,Mountain : all sectors thousand megawatthours,West South Central : all sectors thousand megawatthours,Pacific Noncontiguous : all sectors thousand megawatthours,Pacific Contiguous : all sectors thousand megawatthours
Oct 2007,10742.16352,33458.38104,53559.75797,25041.98454,68602.10863,30364.40783,29421.69232,50763.73286,1584.12457,29077.0631
Sep 2007,11243.92127,35921.02477,55831.83855,25773.92168,72863.18533,33113.95836,32471.60251,56665.66216,1508.75069,30000.0466
Aug 2007,13046.37017,43472.07133,65557.36608,31092.48708,87386.81942,40357.41514,35834.93423,67650.97807,1584.29242,35813.92536
Jul 2007,12767.64246,41155.92362,59876.2301,30076.92334,79099.98063,36136.19522,35878.81576,60149.2537,1567.37697,36518.09048
Jun 2007,11045.98531,37810.71532,56835.61403,26921.33982,74567.07511,34363.52934,32135.05915,56226.44076,1480.62534,31368.49307
May 2007,9927.09202,34125.63378,51158.54412,23389.72848,67832.41653,31214.1614,29972.24886,50500.87823,1511.4821,30570.57254
Apr 2007,9795.12946,33015.173,48991.28599,22528.40917,59657.94707,27398.81746,25929.49727,44639.54623,1460.33348,29712.92451
Mar 2007,10774.27962,35198.74781,53067.7872,24189.78445,63506.46649,28987.22434,27801.38753,45126.28346,1589.68467,30229.59697
Feb 2007,10384.59887,34885.5562,55262.32607,25240.96212,65658.51883,31557.82671,26649.05424,45400.43173,1390.46193,26800.65818
Jan 2007,11003.72491,36081.77433,59494.48883,27648.97205,67254.87382,33209.24423,32138.27147,53004.22243,1571.14111,32124.38156
Dec 2006,10810.93581,35307.90774,56169.62963,27342.52108,63481.7787,32325.64777,30581.55661,47681.50091,1558.22833,31023.53932
Nov 2006,9895.49493,32851.78548,52425.06918,23582.13448,58718.41439,30656.70837,28434.16799,43414.50205,1560.41245,27620.13713
